"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1025","updatebooking(put)","chromium","Mon Oct 06 13:27:44 CEST 2025","failed","Mon Oct 06 13:27:45 CEST 2025","","Put_Api_request.spec.ts","",""
"","89493","Multiple Tab / Window Handling","chromium","Sat Oct 11 18:39:28 CEST 2025","failed","Sat Oct 11 18:40:58 CEST 2025","","dummy.spec.ts","",""
"","456","create post request using Json file","chromium","Sat Oct 25 10:04:23 CEST 2025","passed","Sat Oct 25 10:04:24 CEST 2025","","Post_Api_Request_03_Create_Booking_Dynamic_json.spec.ts","",""
"","1318","create post request using Json file","chromium","Tue Sep 30 10:58:36 CEST 2025","passed","Tue Sep 30 10:58:37 CEST 2025","","Postapirequest02createbooking.spec.ts","",""
"","1560","updatebooking(put)","chromium","Mon Oct 06 18:56:59 CEST 2025","passed","Mon Oct 06 18:57:00 CEST 2025","","Put_Api_request_05.spec.ts","",""
"","25564","Practice2 - Progress Bar","chromium","Wed Oct 01 22:12:35 CEST 2025","failed","Wed Oct 01 22:13:01 CEST 2025","","Practice2.spec.ts","",""
"","18416","text view practices","chromium","Tue Nov 04 09:57:05 CET 2025","passed","Tue Nov 04 09:57:24 CET 2025","","Practice1.spec.ts","",""
"","1124","create post requet using static body","chromium","Mon Sep 29 10:16:10 CEST 2025","passed","Mon Sep 29 10:16:12 CEST 2025","","API_test_POC\Post_api_request_01_createbooking.spec.ts","",""
"","93167","E2E - Parallel Users with Video Recording","chromium","Fri Oct 10 10:47:27 CEST 2025","passed","Fri Oct 10 10:49:00 CEST 2025","","Script1.spec.ts","",""
"","1315","Get booking details by name - query param","chromium","Sat Oct 25 10:04:20 CEST 2025","passed","Sat Oct 25 10:04:21 CEST 2025","","Get_api_request_04.spec.ts","",""
"","1234","create post request using static body","chromium","Tue Sep 30 10:46:10 CEST 2025","passed","Tue Sep 30 10:46:11 CEST 2025","","Postapirequest01createbooking.spec.ts","",""
"","113416","sparkstone Insurance Quote flow","chromium","Sat Oct 11 18:40:32 CEST 2025","failed","Sat Oct 11 18:42:25 CEST 2025","","sample.spec.ts","",""
"","32822","Practice2 - Date Picker","chromium","Wed Oct 01 22:11:48 CEST 2025","passed","Wed Oct 01 22:12:21 CEST 2025","","Practice2.spec.ts","",""
"","1120","get booking details by Id- path param","chromium","Mon Oct 06 11:19:40 CEST 2025","passed","Mon Oct 06 11:19:41 CEST 2025","","get_api_request_04.spec.ts","",""
"","104212","E2E - Parallel Users with Video Recording + Timestamp Evaluation","chromium","Fri Oct 10 11:11:56 CEST 2025","passed","Fri Oct 10 11:13:40 CEST 2025","","Script1.spec.ts","",""
